tic,date,ajexdi,price,gvkey
REMX,8/20/2021,1,103.03,185808
REMX,8/23/2021,1,108.74,185808
REMX,8/24/2021,1,111.3,185808
REMX,8/25/2021,1,112.62,185808
REMX,8/26/2021,1,109.59,185808
REMX,8/27/2021,1,111.27,185808
REMX,8/30/2021,1,114.84,185808
REMX,8/31/2021,1,118.34,185808
REMX,9/1/2021,1,114.64,185808
REMX,9/2/2021,1,116.24,185808
REMX,9/3/2021,1,114.1,185808
REMX,9/7/2021,1,116,185808
REMX,9/8/2021,1,113.58,185808
REMX,9/9/2021,1,115.93,185808
REMX,9/10/2021,1,117.41,185808
REMX,9/13/2021,1,115.82,185808
REMX,9/14/2021,1,117.47,185808
REMX,9/15/2021,1,120.59,185808
REMX,9/16/2021,1,115.04,185808
REMX,9/17/2021,1,112.65,185808
REMX,9/20/2021,1,104.53,185808
REMX,9/21/2021,1,106.31,185808
REMX,9/22/2021,1,110.12,185808
REMX,9/23/2021,1,112.03,185808
REMX,9/24/2021,1,109.84,185808
REMX,9/27/2021,1,107.71,185808
REMX,9/28/2021,1,103.32,185808
REMX,9/29/2021,1,100.89,185808
REMX,9/30/2021,1,103.22,185808
REMX,10/1/2021,1,103.07,185808
REMX,10/4/2021,1,98.31,185808
REMX,10/5/2021,1,101.66,185808
REMX,10/6/2021,1,100.51,185808
REMX,10/7/2021,1,104.39,185808
REMX,10/8/2021,1,102.71,185808
REMX,10/11/2021,1,105.4,185808
REMX,10/12/2021,1,106.17,185808
REMX,10/13/2021,1,109.27,185808
REMX,10/14/2021,1,111.4,185808
REMX,10/15/2021,1,113.25,185808
REMX,10/18/2021,1,114.2,185808
REMX,10/19/2021,1,115.23,185808
REMX,10/20/2021,1,116.41,185808
REMX,10/21/2021,1,115.31,185808
REMX,10/22/2021,1,113.34,185808
REMX,10/25/2021,1,118.34,185808
REMX,10/26/2021,1,117.77,185808
REMX,10/27/2021,1,115.07,185808
REMX,10/28/2021,1,115.35,185808
REMX,10/29/2021,1,118.17,185808
REMX,11/1/2021,1,117.17,185808
REMX,11/2/2021,1,114.63,185808
REMX,11/3/2021,1,116.3,185808
REMX,11/4/2021,1,118.21,185808
REMX,11/5/2021,1,118.96,185808
REMX,11/8/2021,1,123.23,185808
REMX,11/9/2021,1,121.11,185808
REMX,11/10/2021,1,116.01,185808
REMX,11/11/2021,1,118.9,185808
REMX,11/12/2021,1,119.85,185808
REMX,11/15/2021,1,117.87,185808
REMX,11/16/2021,1,114.67,185808
REMX,11/17/2021,1,116.07,185808
REMX,11/18/2021,1,115.92,185808
REMX,11/19/2021,1,117.4,185808
REMX,11/22/2021,1,119.72,185808
REMX,11/23/2021,1,119.01,185808
REMX,11/24/2021,1,123.94,185808
REMX,11/26/2021,1,120.27,185808
REMX,11/29/2021,1,124.63,185808
REMX,11/30/2021,1,122.87,185808
REMX,12/1/2021,1,119.4,185808
REMX,12/2/2021,1,120.51,185808
REMX,12/3/2021,1,114.94,185808
REMX,12/6/2021,1,114.79,185808
REMX,12/7/2021,1,115.24,185808
REMX,12/8/2021,1,118.72,185808
REMX,12/9/2021,1,116.04,185808
REMX,12/10/2021,1,118.81,185808
REMX,12/13/2021,1,115.13,185808
REMX,12/14/2021,1,113.89,185808
REMX,12/15/2021,1,114.38,185808
REMX,12/16/2021,1,113.35,185808
REMX,12/17/2021,1,113.21,185808
REMX,12/20/2021,1,103.39,185808
REMX,12/21/2021,1,104.65,185808
REMX,12/22/2021,1,106.95,185808
REMX,12/23/2021,1,107.47,185808
REMX,12/27/2021,1,108.52,185808
REMX,12/28/2021,1,108.46,185808
REMX,12/29/2021,1,110.66,185808
REMX,12/30/2021,1,111.88,185808
REMX,12/31/2021,1,112.19,185808
REMX,1/3/2022,1,113.08,185808
REMX,1/4/2022,1,116.96,185808
REMX,1/5/2022,1,112.19,185808
REMX,1/6/2022,1,110.92,185808
REMX,1/7/2022,1,109.77,185808
REMX,1/10/2022,1,108.75,185808
REMX,1/11/2022,1,112.86,185808
REMX,1/12/2022,1,116.96,185808
REMX,1/13/2022,1,114.02,185808
REMX,1/14/2022,1,115,185808
REMX,1/18/2022,1,112.19,185808
REMX,1/19/2022,1,110.59,185808
REMX,1/20/2022,1,109.95,185808
REMX,1/21/2022,1,104.7,185808
REMX,1/24/2022,1,103.64,185808
REMX,1/25/2022,1,101.93,185808
REMX,1/26/2022,1,101.27,185808
REMX,1/27/2022,1,97.9,185808
REMX,1/28/2022,1,97.11,185808
REMX,1/31/2022,1,101.59,185808
REMX,2/1/2022,1,103.77,185808
REMX,2/2/2022,1,104.02,185808
REMX,2/3/2022,1,99.02,185808
REMX,2/4/2022,1,101.42,185808
REMX,2/7/2022,1,102.68,185808
REMX,2/8/2022,1,104.42,185808
REMX,2/9/2022,1,108.72,185808
REMX,2/10/2022,1,108.01,185808
REMX,2/11/2022,1,105.17,185808
REMX,2/14/2022,1,102.67,185808
REMX,2/15/2022,1,106.75,185808
REMX,2/16/2022,1,110.03,185808
REMX,2/17/2022,1,105.81,185808
REMX,2/18/2022,1,105.9,185808
REMX,2/22/2022,1,102.93,185808
REMX,2/23/2022,1,103.6,185808
REMX,2/24/2022,1,104.22,185808
REMX,2/25/2022,1,110.31,185808
REMX,2/28/2022,1,110.76,185808
REMX,3/1/2022,1,106.99,185808
REMX,3/2/2022,1,110.59,185808
REMX,3/3/2022,1,108.66,185808
REMX,3/4/2022,1,105.22,185808
REMX,3/7/2022,1,101.43,185808
REMX,3/8/2022,1,100.89,185808
REMX,3/9/2022,1,104.69,185808
REMX,3/10/2022,1,104.74,185808
REMX,3/11/2022,1,102.78,185808
REMX,3/14/2022,1,97.7,185808
REMX,3/15/2022,1,97.43,185808
REMX,3/16/2022,1,103.51,185808
REMX,3/17/2022,1,104.85,185808
REMX,3/18/2022,1,108.84,185808
REMX,3/21/2022,1,110.63,185808
REMX,3/22/2022,1,114.53,185808
REMX,3/23/2022,1,114.04,185808
REMX,3/24/2022,1,116.97,185808
REMX,3/25/2022,1,116.8,185808
REMX,3/28/2022,1,114.81,185808
REMX,3/29/2022,1,117.54,185808
REMX,3/30/2022,1,117.9,185808
REMX,3/31/2022,1,118.28,185808
REMX,4/1/2022,1,121.98,185808
REMX,4/4/2022,1,127.41,185808
REMX,4/5/2022,1,120.63,185808
REMX,4/6/2022,1,116.73,185808
REMX,4/7/2022,1,115.99,185808
REMX,4/8/2022,1,114.59,185808
REMX,4/11/2022,1,109.97,185808
REMX,4/12/2022,1,108.17,185808
REMX,4/13/2022,1,112.72,185808
REMX,4/14/2022,1,110.26,185808
REMX,4/18/2022,1,108.76,185808
REMX,4/19/2022,1,111.41,185808
REMX,4/20/2022,1,108.82,185808
REMX,4/21/2022,1,102.7,185808
REMX,4/22/2022,1,98.29,185808
REMX,4/25/2022,1,95.22,185808
REMX,4/26/2022,1,91.96,185808
REMX,4/27/2022,1,95.44,185808
REMX,4/28/2022,1,95.38,185808
REMX,4/29/2022,1,95.3,185808
REMX,5/2/2022,1,94.66,185808
REMX,5/3/2022,1,96.24,185808
REMX,5/4/2022,1,99.1899,185808
REMX,5/5/2022,1,94.97,185808
REMX,5/6/2022,1,91.81,185808
REMX,5/9/2022,1,86.67,185808
REMX,5/10/2022,1,87.79,185808
REMX,5/11/2022,1,87.71,185808
REMX,5/12/2022,1,85.73,185808
REMX,5/13/2022,1,89.85,185808
REMX,5/16/2022,1,91.33,185808
REMX,5/17/2022,1,96.75,185808
REMX,5/18/2022,1,94.13,185808
REMX,5/19/2022,1,97.6,185808
REMX,5/20/2022,1,97.41,185808
REMX,5/23/2022,1,100.37,185808
REMX,5/24/2022,1,98.31,185808
REMX,5/25/2022,1,97.48,185808
REMX,5/26/2022,1,100.73,185808
REMX,5/27/2022,1,103.59,185808
REMX,5/31/2022,1,101.87,185808
REMX,6/1/2022,1,94.91,185808
REMX,6/2/2022,1,99.77,185808
REMX,6/3/2022,1,99.42,185808
REMX,6/6/2022,1,101.3,185808
REMX,6/7/2022,1,102.59,185808
REMX,6/8/2022,1,100.25,185808
REMX,6/9/2022,1,95.36,185808
REMX,6/10/2022,1,93.53,185808
REMX,6/13/2022,1,89.89,185808
REMX,6/14/2022,1,89.59,185808
REMX,6/15/2022,1,90.98,185808
REMX,6/16/2022,1,87.86,185808
REMX,6/17/2022,1,90.36,185808
REMX,6/21/2022,1,88.26,185808
REMX,6/22/2022,1,84.59,185808
REMX,6/23/2022,1,82.75,185808
REMX,6/24/2022,1,88,185808
REMX,6/27/2022,1,90.74,185808
REMX,6/28/2022,1,89.84,185808
REMX,6/29/2022,1,86.96,185808
REMX,6/30/2022,1,86.8,185808
REMX,7/1/2022,1,86.8,185808
REMX,7/5/2022,1,83.33,185808
REMX,7/6/2022,1,82.27,185808
REMX,7/7/2022,1,84.89,185808
REMX,7/8/2022,1,85.58,185808
REMX,7/11/2022,1,80.93,185808
REMX,7/12/2022,1,78.06,185808
REMX,7/13/2022,1,80.13,185808
REMX,7/14/2022,1,80.25,185808
REMX,7/15/2022,1,80.66,185808
REMX,7/18/2022,1,82.29,185808
REMX,7/19/2022,1,84.34,185808
REMX,7/20/2022,1,85.35,185808
REMX,7/21/2022,1,87.56,185808
REMX,7/22/2022,1,85.51,185808
REMX,7/25/2022,1,87.62,185808
REMX,7/26/2022,1,86.59,185808
REMX,7/27/2022,1,90.47,185808
REMX,7/28/2022,1,91.42,185808
REMX,7/29/2022,1,92.5,185808
REMX,8/1/2022,1,93.07,185808
REMX,8/2/2022,1,90.67,185808
REMX,8/3/2022,1,92.26,185808
REMX,8/4/2022,1,93.02,185808
REMX,8/5/2022,1,95.12,185808
REMX,8/8/2022,1,98.98,185808
REMX,8/9/2022,1,99.49,185808
REMX,8/10/2022,1,103.37,185808
REMX,8/11/2022,1,104.3,185808
REMX,8/12/2022,1,105.68,185808
REMX,8/15/2022,1,105.45,185808
REMX,8/16/2022,1,102.97,185808
REMX,8/17/2022,1,99.64,185808
REMX,8/18/2022,1,100.4,185808
REMX,8/19/2022,1,96.16,185808
REMX,8/22/2022,1,96.52,185808
REMX,8/23/2022,1,100.34,185808
REMX,8/24/2022,1,101.08,185808
REMX,8/25/2022,1,101.78,185808
REMX,8/26/2022,1,99.08,185808
REMX,8/29/2022,1,98.19,185808
REMX,8/30/2022,1,95.43,185808
REMX,8/31/2022,1,96.21,185808
REMX,9/1/2022,1,92.35,185808
REMX,9/2/2022,1,92.47,185808
REMX,9/6/2022,1,94.73,185808
REMX,9/7/2022,1,97.29,185808
REMX,9/8/2022,1,99.45,185808
REMX,9/9/2022,1,103.52,185808
REMX,9/12/2022,1,103.26,185808
REMX,9/13/2022,1,99.34,185808
REMX,9/14/2022,1,99.69,185808
REMX,9/15/2022,1,95.13,185808
REMX,9/16/2022,1,93.51,185808
REMX,9/19/2022,1,95.82,185808
REMX,9/20/2022,1,94.48,185808
REMX,9/21/2022,1,94.08,185808
REMX,9/22/2022,1,92,185808
REMX,9/23/2022,1,85.85,185808
REMX,9/26/2022,1,84.45,185808
REMX,9/27/2022,1,85.4,185808
REMX,9/28/2022,1,86.8,185808
REMX,9/29/2022,1,84.02,185808
REMX,9/30/2022,1,83.33,185808
REMX,10/3/2022,1,85.41,185808
REMX,10/4/2022,1,90.26,185808
REMX,10/5/2022,1,88.38,185808
REMX,10/6/2022,1,86.93,185808
REMX,10/7/2022,1,83.91,185808
REMX,10/10/2022,1,82.82,185808
REMX,10/11/2022,1,82.57,185808
REMX,10/12/2022,1,82.15,185808
REMX,10/13/2022,1,83.21,185808
REMX,10/14/2022,1,80.11,185808
REMX,10/17/2022,1,83.5,185808
REMX,10/18/2022,1,83.82,185808
REMX,10/19/2022,1,84.53,185808
REMX,10/20/2022,1,83.74,185808
REMX,10/21/2022,1,88.285,185808
REMX,10/24/2022,1,85.76,185808
REMX,10/25/2022,1,88.89,185808
REMX,10/26/2022,1,90.03,185808
REMX,10/27/2022,1,88.31,185808
REMX,10/28/2022,1,85.52,185808
REMX,10/31/2022,1,85.47,185808
REMX,11/1/2022,1,88.75,185808
REMX,11/2/2022,1,86.21,185808
REMX,11/3/2022,1,86.42,185808
REMX,11/4/2022,1,93.83,185808
REMX,11/7/2022,1,92.95,185808
REMX,11/8/2022,1,95.49,185808
REMX,11/9/2022,1,91.49,185808
REMX,11/10/2022,1,97.63,185808
REMX,11/11/2022,1,98.89,185808
REMX,11/14/2022,1,97.87,185808
REMX,11/15/2022,1,94.78,185808
REMX,11/16/2022,1,92.62,185808
REMX,11/17/2022,1,90.6,185808
REMX,11/18/2022,1,89.95,185808
REMX,11/21/2022,1,90.11,185808
REMX,11/22/2022,1,91.78,185808
REMX,11/23/2022,1,92.99,185808
REMX,11/25/2022,1,89.32,185808
REMX,11/28/2022,1,87.23,185808
REMX,11/29/2022,1,88.7,185808
REMX,11/30/2022,1,94.57,185808
REMX,12/1/2022,1,93.66,185808
REMX,12/2/2022,1,96.18,185808
REMX,12/5/2022,1,91.43,185808
REMX,12/6/2022,1,91.57,185808
REMX,12/7/2022,1,92.62,185808
REMX,12/8/2022,1,91.29,185808
REMX,12/9/2022,1,89.96,185808
REMX,12/12/2022,1,89.18,185808
REMX,12/13/2022,1,90.21,185808
REMX,12/14/2022,1,88.94,185808
REMX,12/15/2022,1,84.54,185808
REMX,12/16/2022,1,82.56,185808
REMX,12/19/2022,1,80.34,185808
REMX,12/20/2022,1,79.45,185808
REMX,12/21/2022,1,80.08,185808
REMX,12/22/2022,1,76.89,185808
REMX,12/23/2022,1,77.75,185808
REMX,12/27/2022,1,77.68,185808
REMX,12/28/2022,1,75,185808
